CustomerID,Money Spent Entropy,Mean Days btw Purchases,Mean Products In Basket,Mean Qta,Mean Money Spent,Customer Type
12347,4.518600555572191,167.83333000000005,14.142857142857142,25.217194570135746,40.46981900452489,high-spending
12349,3.5355977262904874,697.0,35.0,8.8,14.474666666666666,medium-spending
12350,2.6645368767942714,697.0,15.0,11.714285714285715,13.728571428571426,medium-spending
12352,3.622310212949592,85.5,5.428571428571429,18.666666666666664,30.406666666666666,high-spending
12353,0.6730116670092565,697.0,2.0,7.0,14.650000000000002,medium-spending
12354,3.1701666639046704,697.0,25.0,8.866666666666667,12.763333333333332,medium-spending
12355,1.3852175202653494,697.0,4.0,0.0,0.0,medium-spending
12356,2.3122106641423685,198.0,6.0,19.0,27.909999999999997,medium-spending
12358,1.6055598826592756,697.0,5.0,8.0,15.0,medium-spending
12359,4.510810232781184,163.66666999999995,23.5,25.631932773109245,43.190403361344536,high-spending
12360,4.409353972425066,74.0,29.33333333333333,16.350332594235034,25.009711751662973,medium-spending
12361,2.185653511711868,697.0,9.0,10.0,16.5,medium-spending
12363,1.7635490353663539,74.0,3.0,24.0,34.8,high-spending
12364,3.310551982926541,166.0,9.666666666666666,33.833333333333336,34.528333333333336,high-spending
12365,2.7615128009662047,697.0,16.0,11.2,14.720000000000002,medium-spending
12367,1.7450853105527564,697.0,6.0,8.0,12.4,low-spending
12370,4.3888928847961255,103.0,22.75,8.016666666666667,12.388333333333335,low-spending
12371,3.4362450437774736,697.0,33.0,9.833333333333334,13.08333333333333,medium-spending
12372,3.0623980912666564,149.5,7.333333333333332,12.0,27.6,medium-spending
12373,1.877854982173357,697.0,7.0,10.0,8.5,low-spending
12374,2.5760970241443197,697.0,14.0,9.1,15.045000000000002,medium-spending
12375,2.1205257997398066,293.0,4.5,10.0,8.5,low-spending
12377,3.724232279642834,39.0,22.5,12.666666666666666,27.125,medium-spending
12379,3.4081851322289296,89.0,16.0,17.2,28.974,high-spending
12380,4.056954258213086,45.0,15.0,17.37792642140468,29.353076923076927,high-spending
12381,3.822783114049906,105.0,15.666666666666664,17.4,29.502000000000002,high-spending
12383,3.662034857133438,187.75,8.4,32.03636363636363,36.972181818181824,high-spending
12384,2.369459851046224,34.0,5.5,6.7142857142857135,13.997142857142858,medium-spending
12386,1.0974088280586505,697.0,3.0,6.0,17.700000000000006,medium-spending
12388,3.7437576641324792,82.6,7.666666666666668,28.508333333333333,37.97958333333334,high-spending
12390,2.3591418399593445,697.0,11.0,8.8,11.76,low-spending
12391,2.644026159845501,697.0,22.0,5.666666666666668,9.046666666666667,low-spending
12393,3.6723238208798734,182.66666999999998,10.25,19.761904761904763,30.878571428571426,high-spending
12394,2.6386046626788557,697.0,15.0,7.75,11.0425,low-spending
12395,4.349781493182069,164.4,6.833333333333332,23.7,40.51756521739131,high-spending
12397,4.1167393837316935,107.0,32.0,16.627705627705627,29.218874458874453,high-spending
12398,3.4886266134271136,697.0,34.0,9.73913043478261,13.897391304347826,medium-spending
12399,3.081942029102782,106.0,5.5,21.13095238095238,32.33630952380952,high-spending
12401,0.0,697.0,1.0,4.0,15.0,medium-spending
12402,2.252922592091371,697.0,10.0,6.0,10.8,low-spending
12405,3.0157632562696612,697.0,22.0,7.333333333333332,15.053333333333333,medium-spending
12406,3.775691982784634,72.0,23.0,9.538461538461537,16.200000000000006,medium-spending
12407,3.190679141944453,71.666664,6.25,23.600000000000005,45.215555555555554,high-spending
12408,4.092389816925704,121.66666399999998,13.0,18.29365079365079,26.598650793650794,medium-spending
12409,0.6931471805599453,697.0,2.0,0.0,0.0,medium-spending
12410,2.29564840483384,697.0,10.0,12.0,16.439999999999998,medium-spending
12412,2.7500694574441344,47.5,5.666666666666668,8.25,12.5,low-spending
12413,3.0102032283680025,26.0,7.333333333333332,15.7,23.711666666666666,medium-spending
12414,1.6074614039335382,123.0,2.5,12.0,17.4,medium-spending
12415,1.8170123728619028,82.5,1.6,9.0,16.35,medium-spending
12417,4.2289073752436686,64.375,7.888888888888887,23.38675213675214,43.45391025641025,high-spending
12418,2.179527240134193,697.0,9.0,9.375,15.00625,medium-spending
12420,2.220799012532364,697.0,10.0,8.666666666666666,12.373333333333333,low-spending
12421,3.0284053353524696,101.333336,5.25,24.766666666666666,45.317,high-spending
12422,3.4575459070096866,101.0,11.0,16.566666666666666,29.153750000000002,medium-spending
