CustomerID,Money Spent Entropy,Mean Qta Q1,Mean Money Spent Q1,Mean Qta Q2,Mean Money Spent Q2,Mean Qta Q3,Mean Money Spent Q3,Distinct Products,Mean Days btw Purchases,Min Days btw Purchases,Max Days btw Purchases,Max Products In Basket,Min Products In Basket,Mean Products In Basket,Total Products,Distinct Baskets
12347,4.518600555572191,7.294117647058822,13.050588235294118,9.0,14.376153846153846,8.923076923076922,13.043076923076926,66,167.83333000000005,64,265,26,4,14.142857142857142,916,7
12349,3.5355977262904874,0.0,0.0,0.0,0.0,8.8,14.474666666666666,35,697.0,697,697,35,35,35.0,328,1
12350,2.6645368767942714,11.714285714285715,13.728571428571426,0.0,0.0,0.0,0.0,15,697.0,697,697,15,15,15.0,172,1
12352,3.622310212949592,10.416666666666666,14.894166666666665,0.0,0.0,8.25,15.5125,31,85.5,5,201,8,1,5.428571428571429,365,7
12353,0.6730116670092565,0.0,0.0,7.0,14.650000000000002,0.0,0.0,2,697.0,697,697,2,2,2.0,14,1
12354,3.1701666639046704,8.866666666666667,12.763333333333332,0.0,0.0,0.0,0.0,25,697.0,697,697,25,25,25.0,221,1
12355,1.3852175202653494,0.0,0.0,0.0,0.0,0.0,0.0,4,697.0,697,697,4,4,4.0,30,1
12356,2.3122106641423685,12.0,17.4,7.0,10.51,0.0,0.0,12,198.0,198,198,10,2,6.0,105,2
12358,1.6055598826592756,0.0,0.0,0.0,0.0,8.0,15.0,5,697.0,697,697,5,5,5.0,46,1
12359,4.510810232781184,9.714285714285714,13.914285714285715,8.117647058823529,14.594117647058821,7.8,14.682,81,163.66666999999995,118,221,39,7,23.5,846,4
12360,4.409353972425066,0.0,0.0,7.804878048780488,12.502439024390245,8.545454545454545,12.507272727272728,70,74.0,60,88,34,23,29.33333333333333,768,3
12361,2.185653511711868,10.0,16.5,0.0,0.0,0.0,0.0,9,697.0,697,697,9,9,9.0,90,1
12363,1.763549035366354,0.0,0.0,12.0,17.4,12.0,17.4,6,74.0,74,74,3,3,3.0,72,2
12364,3.310551982926541,12.0,11.4,9.833333333333334,12.208333333333336,12.0,10.920000000000002,21,166.0,72,260,12,8,9.666666666666666,329,3
12365,2.7615128009662047,11.2,14.720000000000002,0.0,0.0,0.0,0.0,16,697.0,697,697,16,16,16.0,148,1
12367,1.7450853105527564,0.0,0.0,8.0,12.4,0.0,0.0,6,697.0,697,697,6,6,6.0,60,1
12370,4.3888928847961255,0.0,0.0,0.0,0.0,8.016666666666667,12.388333333333335,81,103.0,3,290,35,5,22.75,740,4
12371,3.4362450437774736,0.0,0.0,0.0,0.0,9.833333333333334,13.08333333333333,33,697.0,697,697,33,33,33.0,320,1
12372,3.0623980912666564,7.0,14.25,0.0,0.0,5.0,13.35,16,149.5,37,262,12,3,7.333333333333332,212,3
12373,1.877854982173357,10.0,8.5,0.0,0.0,0.0,0.0,7,697.0,697,697,7,7,7.0,66,1
12374,2.57609702414432,0.0,0.0,0.0,0.0,9.1,15.045000000000002,14,697.0,697,697,14,14,14.0,133,1
12375,2.1205257997398066,10.0,8.5,0.0,0.0,0.0,0.0,8,293.0,293,293,7,2,4.5,90,2
